id,type,latitude_deg,longitude_deg,elevation_ft,municipality,gps_code,iata_code
321477,small_airport,39.984617,-6.554554,735,Coria,,
43278,small_airport,41.41080093,-3.448329926,3280,Corral dev Ayllón,LECA,
320711,small_airport,41.861768,-2.949889,3806,Covaleda,,
321111,small_airport,37.9273008,-1.7751475,2740,Coy (Lorca),,
43246,small_airport,39.2981987,-2.378720045,2370,Cuenca,LEPI,
326764,heliport,37.313164,-5.999058,20,Dos Hermanas,LEEC,
43275,heliport,43.18190002,-2.646389961,422,Durango,LEIU,
321460,small_airport,37.547469,-5.1762502,574,Ecija,,
321461,small_airport,37.5802316,-5.171264,591,Écija,,
321555,small_airport,38.872328,-2.673034,3183,El Bonillo,,
320471,small_airport,40.020804,-4.558266,1509,El Casar de Escalona,,
321518,small_airport,36.7441167,-2.7674833,157,El Ejido,,
315976,small_airport,40.604722,-4.790278,3543,El Fresno,,
321427,small_airport,40.6602,-3.59489,1903,El Molar,,
321462,small_airport,41.371467,1.30375,1345,El Pla de Santa María,,
320644,small_airport,38.94316667,-0.76915,1903,Enguera,,
321132,small_airport,37.08950278,-3.788322222,,Escúzar,,
321576,small_airport,38.2628667,-5.0442,2362,Espiel,,
321113,small_airport,42.0310336,3.1793314,10,Estartit,,
326685,heliport,36.495633,-5.17816,2033,Estepona,,
321475,small_airport,42.9814153,-9.0043778,960,Fervenza,,
321442,small_airport,42.029933,2.990761,443,Foixà,,
320825,small_airport,41.95289,2.30661,,Folgueroles,,
321441,small_airport,41.933305,-3.784808,3068,Fontioso,,
43295,heliport,38.71659851,1.399960041,44,Formentera Island,LEBI,
321728,small_airport,38.5264323,-4.389622,2674,Fuencaliente,,
321508,small_airport,38.281802,-5.40184,2083,Fuente Obejuna,,
321517,small_airport,38.7168167,-1.5461667,2690,Fuentealamo,,
320168,small_airport,37.12557,-2.595571,2559,Gérgal,,
43268,heliport,41.9978981,2.821399927,215,Gerona,LEJT,
43256,heliport,43.54973221,-5.695445538,1,Gijón,LEEL,
321610,small_airport,40.223781,-3.866911,2198,Griñón,,
327564,heliport,41.011168,-6.477604,,Guadramiro,,
329206,heliport,42.170884,-8.43643,,Guillade,,
321430,small_airport,37.561238,-6.0308241,197,Guillena,,
321431,small_airport,41.9882928,2.2561665,1726,Gurb,,
